source_path	destination_path	sha256	purpose	copyright_owner	license_or_authority	reviewer
Sources/FlowType/OutputModesSettingsPane.swift	LegacyParity/Sources/FlowType/OutputModesSettingsPane.swift	f63ad17409d27ffcb0c5efbea52f1ad69c85543c183af5a3ca276461b6b9fb89	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/AppDockIcon.png	LegacyParity/Sources/FlowType/Resources/AppDockIcon.png	e13389ac1362ac19dd68e182b316ab319b74175924499e7218b39eb1a3c979df	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/Media.xcassets/Contents.json	LegacyParity/Sources/FlowType/Resources/Media.xcassets/Contents.json	0fd49ba3c3585c709678e0046a821c3c60685ec7063720d30d3a3448be3a208b	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/Contents.json	LegacyParity/Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/Contents.json	540a07b06486343e57113b6402cb4edd00ed14c9fb43eccebba782c58f3979f6	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/MenuBarIcon.png	LegacyParity/Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/MenuBarIcon.png	ff60156cda79817f26c9799fd0a50ca471c6f6413610abf9b1b027e973006215	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/MenuBarIcon@2x.png	LegacyParity/Sources/FlowType/Resources/Media.xcassets/MenuBarIcon.imageset/MenuBarIcon@2x.png	0192a468ff876bd63a12455575689933968c67dd85da8cadc306fc9a67f5f83c	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/MenuBarIcon_statusbar.png	LegacyParity/Sources/FlowType/Resources/MenuBarIcon_statusbar.png	ff60156cda79817f26c9799fd0a50ca471c6f6413610abf9b1b027e973006215	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/MenuBarIcon_statusbar@2x.png	LegacyParity/Sources/FlowType/Resources/MenuBarIcon_statusbar@2x.png	0192a468ff876bd63a12455575689933968c67dd85da8cadc306fc9a67f5f83c	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/Resources/README.txt	LegacyParity/Sources/FlowType/Resources/README.txt	38163cce9986c748de0892c5778be7600e1a65137f8ae486cb710f1fa3bd16cb	parity-resource	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/SettingsView.swift	LegacyParity/Sources/FlowType/SettingsView.swift	e3e6e5815aa9a1dba2b43bfa81a2319d6badd5cbdea97be38e70528a73b0cb71	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/SettingsWindowHelper.swift	LegacyParity/Sources/FlowType/SettingsWindowHelper.swift	8686185260fbebd0dbca7cc4e7db4b42fce506e2e2bfc21c621e155107e28927	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/SpeechModelsSettingsPane.swift	LegacyParity/Sources/FlowType/SpeechModelsSettingsPane.swift	9fbcf2ed955d0e288379e81a3cda554e4c39592f4a2285ac8721e6403cb4b885	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/UI/DynamicIslandView.swift	LegacyParity/Sources/FlowType/UI/DynamicIslandView.swift	52e9f30f640baff5fcf79acdff7b6c22f33cb7158f01aa063604469265bd729d	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/UI/FloatingWindowController.swift	LegacyParity/Sources/FlowType/UI/FloatingWindowController.swift	380691aad984db58527cd77b7c263544ecddecd48ba9bf2b9264c7e5c5e2393a	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/WhisperModelCacheInspector.swift	LegacyParity/Sources/FlowType/WhisperModelCacheInspector.swift	bd1ee53a7b9a4680606b817d09fd54b5936a056bc79f05377a2c0a32c5b919c5	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Sources/FlowType/WhisperModelCatalog.swift	LegacyParity/Sources/FlowType/WhisperModelCatalog.swift	4c4986c6a4c7765f201d346cd465a809994bce1009f19b5ec8e82fdc361fe014	parity-source	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
Tests/FlowTypeTests/HotkeyManagerTests.swift	LegacyParity/Tests/FlowTypeTests/HotkeyManagerTests.swift	330ebfe1b2561f4a8c94e5b894a15624f94e04ed84ce6ba19207de299576a67d	parity-test	kthree0213	Original author and sole copyright holder; authorized for Apache-2.0	kthree0213
